cgdppc,countrycode,rgdpnapc
3457,AUS,4789
3280,AUS,4545
4003,AUS,5546
3532,AUS,4894
3012,AUS,4174
3889,AUS,5388
3796,AUS,5259
3738,AUS,5179
3592,AUS,4977
3581,AUS,4961
3797,AUS,5261
3622,AUS,5018
3729,AUS,5166
4077,AUS,5648
4139,AUS,5735
4057,AUS,5621
4292,AUS,5947
4326,AUS,5993
4660,AUS,6456
5039,AUS,6947
5079,AUS,6967
5507,AUS,7518
5359,AUS,7281
5424,AUS,7333
5776,AUS,7771
5705,AUS,7640
5842,AUS,7786
6102,AUS,8094
5591,AUS,7381
6188,AUS,8131
5979,AUS,7819
6172,AUS,8035
6071,AUS,7866
6525,AUS,8415
6374,AUS,8183
6749,AUS,8624
6366,AUS,8099
6695,AUS,8478
5758,AUS,7259
5368,AUS,6737
5476,AUS,6841
5094,AUS,6336
5406,AUS,6695
5040,AUS,6214
5759,AUS,7070
5708,AUS,6976
5992,AUS,7292
5756,AUS,6974
5757,AUS,6945
6165,AUS,7406
6524,AUS,7803
6532,AUS,7780
6905,AUS,8189
7102,AUS,8387
7251,AUS,8527
7727,AUS,9049
8117,AUS,9465
8066,AUS,9273
8171,AUS,9263
8380,AUS,9369
8282,AUS,9133
8177,AUS,8896
8255,AUS,8863
8215,AUS,8705
7993,AUS,8360
8297,AUS,8567
8491,AUS,8658
8860,AUS,8922
9249,AUS,9200
9600,AUS,9433
10138,AUS,9843
10516,AUS,10089
10677,AUS,10124
10746,AUS,10072
10690,AUS,9905
10437,AUS,9562
9302,AUS,8554
8569,AUS,7910
8949,AUS,8292
9459,AUS,8798
9847,AUS,9193
10309,AUS,9661
10652,AUS,10021
11053,AUS,10439
11280,AUS,10695
11159,AUS,10621
11725,AUS,11203
12857,AUS,12333
14160,AUS,13636
14475,AUS,13995
13780,AUS,13376
12895,AUS,12567
12246,AUS,11982
12326,AUS,12108
12834,AUS,12659
13277,AUS,13148
13542,AUS,13466
12876,AUS,13640
13235,AUS,13477
13570,AUS,13636
13912,AUS,14154
14300,AUS,14585
14542,AUS,14732
14229,AUS,14699
14770,AUS,15090
15301,AUS,15677
15196,AUS,15972
15050,AUS,15721
15506,AUS,16400
16188,AUS,17078
16666,AUS,17894
16904,AUS,18444
17152,AUS,18607
17834,AUS,19500
18546,AUS,20255
19210,AUS,21005
19990,AUS,21845
20376,AUS,22328
20601,AUS,22537
21370,AUS,23398
20744,AUS,23592
20864,AUS,23928
21477,AUS,24634
21502,AUS,24612
21745,AUS,25016
22652,AUS,26016
22883,AUS,26184
23372,AUS,26636
22821,AUS,26184
22683,AUS,25870
23458,AUS,27366
24206,AUS,28413
